iter	Passed	Remaining
0	0	889
1	1	814
2	2	759
3	2	717
4	3	705
5	4	693
6	4	675
7	5	663
8	5	656
9	6	650
10	7	651
11	7	656
12	8	656
13	9	657
14	10	660
15	10	665
16	11	668
17	12	666
18	12	663
19	13	662
20	14	661
21	14	657
22	15	676
23	16	676
24	17	673
25	17	670
26	18	666
27	19	661
28	19	656
29	20	653
30	20	652
31	21	653
32	22	652
33	22	649
34	23	648
35	24	647
36	24	647
37	25	649
38	26	649
39	27	648
40	27	646
41	28	645
42	29	646
43	29	645
44	30	645
45	31	646
46	31	644
47	32	646
48	33	643
49	33	642
50	34	641
51	35	640
52	35	639
53	36	640
54	37	639
55	37	638
56	38	636
57	39	635
58	39	635
59	40	636
60	41	637
61	42	635
62	42	633
63	43	632
64	43	632
65	44	633
66	45	637
67	46	637
68	47	636
69	47	635
70	48	633
71	49	632
72	49	631
73	50	630
74	51	629
75	51	627
76	52	625
77	52	625
78	53	624
79	54	622
80	54	621
81	55	621
82	55	617
83	56	619
84	57	619
85	58	618
86	58	616
87	59	615
88	60	614
89	60	614
90	61	613
91	62	612
92	62	611
93	63	610
94	63	609
95	64	608
96	65	607
97	65	605
98	66	604
99	66	602
100	67	601
101	68	599
102	68	599
103	69	598
104	70	597
105	70	597
106	71	598
107	72	597
108	73	597
109	73	596
110	74	596
111	75	595
112	75	594
113	76	593
114	76	592
115	77	591
116	78	589
117	78	588
118	79	587
119	79	586
120	80	585
121	81	583
122	81	581
123	82	581
124	82	580
125	83	579
126	83	577
127	84	576
128	85	576
129	86	576
130	86	576
131	87	575
132	88	573
133	88	572
134	89	572
135	89	570
136	90	570
137	91	569
138	91	568
139	92	567
140	93	566
141	93	564
142	94	564
143	94	563
144	95	563
145	96	563
146	96	562
147	97	562
148	98	561
149	98	559
150	99	559
151	100	558
152	100	558
153	101	557
154	102	557
155	102	556
156	103	555
157	104	555
158	104	553
159	105	553
160	105	551
161	106	551
162	107	550
163	107	549
164	108	549
165	109	548
166	109	548
167	110	547
168	111	546
169	111	545
170	112	544
171	112	543
172	113	542
173	114	542
174	114	541
175	115	541
176	116	540
177	116	540
178	117	539
179	118	538
180	118	537
181	119	537
182	120	536
183	120	535
184	121	534
185	121	533
186	122	532
187	123	531
188	123	530
189	124	529
190	124	528
191	125	527
192	126	527
193	126	526
194	127	525
195	128	525
196	128	524
197	129	523
198	129	522
199	130	522
200	131	521
201	131	521
202	132	520
203	133	519
204	133	518
205	134	517
206	134	517
207	135	516
208	136	515
209	136	514
210	137	513
211	138	513
212	138	512
213	139	511
214	139	510
215	140	509
216	141	508
217	141	508
218	142	507
219	142	506
220	143	505
221	144	505
222	144	505
223	145	504
224	146	503
225	147	503
226	147	503
227	148	502
228	149	501
229	149	500
230	150	500
231	150	499
232	151	498
233	152	498
234	152	497
235	153	496
236	154	495
237	154	495
238	155	494
239	155	493
240	156	492
241	157	492
242	157	491
243	158	490
244	159	490
245	159	489
246	160	488
247	161	488
248	161	487
249	162	486
250	162	485
251	163	485
252	164	484
253	164	483
254	165	482
255	165	481
256	166	480
257	166	480
258	167	479
259	168	478
260	168	477
261	169	477
262	170	476
263	170	475
264	171	475
265	171	474
266	172	473
267	173	473
268	173	472
269	174	472
270	175	471
271	176	471
272	176	470
273	177	469
274	177	468
275	178	468
276	179	467
277	179	466
278	180	465
279	180	465
280	181	464
281	182	463
282	182	463
283	183	462
284	184	461
285	184	460
286	185	460
287	185	459
288	186	459
289	187	458
290	187	457
291	188	457
292	189	456
293	189	456
294	190	455
295	191	455
296	191	454
297	192	453
298	193	452
299	193	452
300	194	451
301	194	450
302	195	450
303	196	449
304	196	448
305	197	447
306	198	447
307	198	446
308	199	445
309	199	444
310	200	443
311	201	443
312	201	442
313	202	441
314	202	441
315	203	440
316	204	439
317	204	439
318	205	439
319	206	438
320	206	437
321	207	437
322	208	436
323	208	435
324	209	435
325	210	434
326	210	433
327	211	432
328	211	432
329	212	431
330	213	430
331	213	429
332	214	429
333	215	428
334	215	428
335	216	427
336	216	426
337	217	425
338	217	425
339	218	424
340	219	423
341	220	423
342	220	422
343	221	421
344	221	421
345	222	420
346	223	419
347	223	419
348	224	418
349	224	417
350	225	417
351	226	416
352	226	415
353	227	414
354	227	414
355	228	413
356	229	412
357	229	412
358	230	411
359	231	410
360	231	410
361	232	409
362	232	408
363	233	408
364	234	407
365	234	406
366	235	406
367	236	405
368	236	404
369	237	404
370	238	403
371	238	403
372	239	402
373	240	401
374	240	400
375	241	400
376	241	399
377	242	398
378	243	398
379	243	397
380	244	396
381	244	396
382	245	395
383	245	394
384	246	393
385	247	393
386	247	392
387	248	391
388	249	391
389	249	390
390	250	390
391	251	389
392	251	389
393	252	388
394	253	387
395	253	387
396	254	386
397	255	385
398	255	385
399	256	384
400	257	383
401	257	383
402	258	382
403	258	381
404	259	381
405	259	380
406	260	379
407	261	378
408	261	377
409	262	377
410	262	376
411	263	375
412	263	375
413	264	374
414	265	373
415	265	373
416	266	372
417	267	372
418	268	371
419	268	371
420	269	370
421	269	369
422	270	368
423	271	368
424	271	367
425	272	366
426	272	365
427	273	365
428	273	364
429	274	363
430	275	363
431	275	362
432	276	361
433	276	360
434	277	360
435	277	359
436	278	358
437	278	357
438	279	357
439	280	356
440	281	356
441	281	355
442	282	355
443	283	354
444	283	353
445	284	353
446	284	352
447	285	351
448	286	351
449	286	350
450	287	349
451	287	348
452	288	348
453	288	347
454	289	346
455	289	345
456	290	345
457	291	344
458	291	343
459	292	342
460	292	342
461	293	341
462	294	341
463	294	340
464	295	340
465	296	339
466	297	339
467	297	338
468	298	337
469	298	337
470	299	336
471	299	335
472	300	335
473	301	334
474	301	333
475	302	332
476	303	332
477	303	331
478	304	330
479	304	330
480	305	329
481	306	328
482	306	328
483	307	327
484	307	326
485	308	326
486	309	325
487	309	324
488	310	324
489	311	324
490	311	323
491	312	322
492	313	322
493	313	321
494	314	320
495	314	319
496	315	319
497	315	318
498	316	317
499	317	317
500	317	316
501	318	315
502	318	315
503	319	314
504	319	313
505	320	312
506	321	312
507	321	311
508	322	311
509	323	310
510	323	309
511	324	309
512	325	308
513	326	308
514	326	307
515	327	306
516	327	306
517	328	305
518	329	304
519	329	304
520	330	303
521	330	302
522	331	302
523	331	301
524	332	300
525	333	300
526	333	299
527	334	298
528	334	298
529	335	297
530	336	296
531	336	296
532	337	295
533	338	295
534	338	294
535	339	293
536	340	293
537	341	292
538	341	292
539	342	291
540	343	291
541	343	290
542	344	289
543	344	289
544	345	288
545	346	287
546	346	287
547	347	286
548	347	285
549	348	285
550	348	284
551	349	283
552	350	283
553	350	282
554	351	281
555	352	281
556	352	280
557	353	279
558	353	279
559	354	278
560	355	278
561	356	277
562	356	277
563	357	276
564	358	275
565	358	274
566	359	274
567	359	273
568	360	272
569	361	272
570	361	271
571	362	271
572	362	270
573	363	269
574	364	269
575	364	268
576	365	267
577	365	267
578	366	266
579	366	265
580	367	265
581	368	264
582	368	263
583	369	263
584	370	262
585	371	262
586	371	261
587	372	261
588	373	260
589	373	259
590	374	259
591	374	258
592	375	257
593	376	257
594	376	256
595	377	255
596	377	255
597	378	254
598	379	253
599	379	253
600	380	252
601	380	251
602	381	251
603	382	250
604	382	249
605	383	249
606	383	248
607	384	247
608	385	247
609	385	246
610	386	246
611	387	245
612	387	244
613	388	244
614	388	243
615	389	242
616	389	242
617	390	241
618	391	240
619	391	240
620	392	239
621	392	238
622	393	238
623	394	237
624	394	236
625	395	236
626	396	235
627	396	235
628	397	234
629	398	233
630	398	233
631	399	232
632	399	231
633	400	231
634	401	230
635	402	230
636	402	229
637	403	228
638	403	228
639	404	227
640	405	226
641	405	226
642	406	225
643	406	224
644	407	224
645	408	223
646	409	223
647	409	222
648	410	222
649	411	221
650	412	220
651	412	220
652	413	219
653	414	219
654	414	218
655	415	217
656	416	217
657	417	216
658	417	216
659	418	215
660	419	214
661	419	214
662	420	213
663	420	212
664	421	212
665	422	211
666	422	211
667	423	210
668	423	209
669	424	209
670	425	208
671	425	207
672	426	207
673	426	206
674	427	205
675	427	205
676	428	204
677	429	203
678	429	203
679	430	202
680	431	201
681	431	201
682	432	200
683	433	200
684	433	199
685	434	198
686	434	198
687	435	197
688	436	196
689	436	196
690	437	195
691	438	194
692	438	194
693	439	193
694	439	193
695	440	192
696	441	191
697	441	191
698	442	190
699	442	189
700	443	189
701	443	188
702	444	187
703	445	187
704	446	186
705	446	186
706	447	185
707	448	184
708	448	184
709	449	183
710	449	182
711	450	182
712	451	181
713	451	180
714	452	180
715	452	179
716	453	179
717	454	178
718	454	177
719	455	177
720	455	176
721	456	175
722	457	175
723	457	174
724	458	173
725	458	173
726	459	172
727	460	171
728	461	171
729	461	170
730	462	170
731	463	169
732	463	168
733	464	168
734	464	167
735	465	166
736	466	166
737	466	165
738	467	165
739	467	164
740	468	163
741	469	163
742	469	162
743	470	161
744	470	161
745	471	160
746	471	159
747	472	159
748	473	158
749	473	157
750	474	157
751	475	156
752	475	156
753	476	155
754	477	154
755	477	154
756	478	153
757	479	152
758	479	152
759	480	151
760	480	151
761	481	150
762	482	149
763	482	149
764	483	148
765	483	147
766	484	147
767	485	146
768	485	145
769	486	145
770	486	144
771	487	143
772	488	143
773	488	142
774	489	142
775	489	141
776	490	140
777	491	140
778	492	139
779	493	139
780	493	138
781	494	137
782	494	137
783	495	136
784	496	135
785	496	135
786	497	134
787	497	133
788	498	133
789	499	132
790	499	132
791	500	131
792	500	130
793	501	130
794	502	129
795	502	128
796	503	128
797	503	127
798	504	126
799	505	126
800	506	125
801	506	125
802	507	124
803	508	123
804	508	123
805	509	122
806	509	121
807	510	121
808	510	120
809	511	119
810	512	119
811	512	118
812	513	118
813	513	117
814	514	116
815	515	116
816	515	115
817	516	114
818	516	114
819	517	113
820	517	112
821	518	112
822	519	111
823	519	110
824	520	110
825	521	109
826	521	109
827	522	108
828	523	107
829	523	107
830	524	106
831	524	105
832	525	105
833	526	104
834	526	104
835	527	103
836	527	102
837	528	102
838	529	101
839	529	100
840	530	100
841	531	99
842	531	99
843	532	98
844	532	97
845	533	97
846	533	96
847	534	95
848	535	95
849	536	94
850	537	94
851	537	93
852	538	92
853	538	92
854	539	91
855	540	90
856	540	90
857	541	89
858	541	88
859	542	88
860	543	87
861	543	87
862	544	86
863	544	85
864	545	85
865	546	84
866	546	83
867	547	83
868	547	82
869	548	81
870	548	81
871	549	80
872	550	80
873	551	79
874	551	78
875	552	78
876	553	77
877	553	76
878	554	76
879	555	75
880	555	75
881	556	74
882	556	73
883	557	73
884	558	72
885	558	71
886	559	71
887	559	70
888	560	69
889	561	69
890	561	68
891	562	68
892	563	67
893	563	66
894	564	66
895	564	65
896	565	64
897	566	64
898	567	63
899	567	63
900	568	62
901	569	61
902	569	61
903	570	60
904	570	59
905	571	59
906	571	58
907	572	58
908	573	57
909	573	56
910	574	56
911	575	55
912	575	54
913	576	54
914	576	53
915	577	52
916	578	52
917	578	51
918	579	51
919	579	50
920	580	49
921	581	49
922	582	48
923	582	47
924	583	47
925	583	46
926	584	46
927	585	45
928	585	44
929	586	44
930	586	43
931	587	42
932	588	42
933	588	41
934	589	40
935	590	40
936	590	39
937	591	39
938	591	38
939	592	37
940	593	37
941	593	36
942	594	35
943	594	35
944	595	34
945	596	34
946	597	33
947	598	32
948	598	32
949	599	31
950	600	30
951	600	30
952	601	29
953	601	29
954	602	28
955	603	27
956	603	27
957	604	26
958	604	25
959	605	25
960	606	24
961	606	23
962	607	23
963	607	22
964	608	22
965	609	21
966	609	20
967	610	20
968	611	19
969	611	18
970	612	18
971	613	17
972	613	17
973	614	16
974	614	15
975	615	15
976	616	14
977	616	13
978	617	13
979	617	12
980	618	11
981	619	11
982	619	10
983	620	10
984	620	9
985	621	8
986	622	8
987	622	7
988	623	6
989	623	6
990	624	5
991	625	5
992	626	4
993	627	3
994	627	3
995	628	2
996	629	1
997	629	1
998	630	0
999	630	0
